date,value
2020-01-01,100
2020-02-01,96.97560975609757
2020-03-01,92.87804878048782
2020-04-01,90.2439024390244
2020-05-01,88.8780487804878
2020-06-01,91.02439024390243
2020-07-01,91.70731707317074
2020-08-01,93.5609756097561
2020-09-01,95.60975609756098
2020-10-01,98.92682926829269
2020-11-01,103.02439024390245
2020-12-01,105.95121951219512
2021-01-01,110.73170731707319
2021-02-01,113.7560975609756
2021-03-01,116.29268292682926
2021-04-01,119.12195121951218
2021-05-01,124.97560975609755
2021-06-01,122.24390243902438
2021-07-01,121.5609756097561
2021-08-01,124.8780487804878
2021-09-01,126.04878048780486
2021-10-01,129.9512195121951
2021-11-01,132
2021-12-01,130.43902439024387
2022-01-01,132.29268292682926
2022-02-01,137.7560975609756
2022-03-01,155.80487804878047
2022-04-01,154.53658536585365
2022-05-01,154.2439024390244
2022-06-01,150.92682926829266
2022-07-01,137.17073170731706
2022-08-01,134.24390243902437
2022-09-01,132.6829268292683
2022-10-01,132.58536585365854
