#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
532,NEVA (WFP),9213753,Odesa,Somalia,Wheat,25000,12/8/2022,12/18/2022,:so:,developing,least developed,Low income,49,December
531,FULMAR S,9370082,Chornomorsk,Italy,Soya beans,11500,12/8/2022,12/12/2022,:it:,developed,developed,High income,49,December
530,AEOLIAN VISION,9483554,Chornomorsk,China,Corn,67100,12/8/2022,12/12/2022,:cn:,developing,other developing,Upper middle income,49,December
529,XIN FENG,9286920,Yuzhny/Pivdennyi,Belgium,Rapeseed,58250,12/7/2022,12/16/2022,:be:,developed,developed,High income,49,December
528,MOAYAD Y,9135482,Chornomorsk,Türkiye,Wheat,22500,12/6/2022,12/15/2022,:tr:,developing,other developing,Upper middle income,49,December
527,SUGAR,9251547,Yuzhny/Pivdennyi,India,Sunflower oil,37500,12/6/2022,12/15/2022,:in:,developing,other developing,Lower middle income,49,December
526,ALEXANDROS III,9575436,Chornomorsk,Spain,Corn,31050,12/6/2022,12/12/2022,:es:,developed,developed,High income,49,December
525,BC RAEDA,9487598,Odesa,Italy,Corn,21955,12/5/2022,12/14/2022,:it:,developed,developed,High income,49,December
524,JUNIPER,9451238,Yuzhny/Pivdennyi,Israel,Wheat,30000,12/4/2022,12/15/2022,:il:,developed,developed,High income,48,December
524,JUNIPER,9451238,Yuzhny/Pivdennyi,Israel,Barley,25000,12/4/2022,12/15/2022,:il:,developed,developed,High income,48,December
523,BC CALLISTO (WFP),9400916,Chornomorsk,Ethiopia,Wheat,30000,12/4/2022,12/14/2022,:et:,developing,least developed,Low income,48,December
522,AKSON SARA,9475739,Odesa,Türkiye,Corn,30400,12/4/2022,12/11/2022,:tr:,developing,other developing,Upper middle income,48,December
521,RIZABEY,9197117,Yuzhny/Pivdennyi,Spain,Corn,13026,12/3/2022,12/9/2022,:es:,developed,developed,High income,48,December
521,RIZABEY,9197117,Yuzhny/Pivdennyi,Spain,Wheat,8954,12/3/2022,12/9/2022,:es:,developed,developed,High income,48,December
520,QUEEN SARA,9132507,Odesa,Italy,Wheat,13500,12/3/2022,12/12/2022,:it:,developed,developed,High income,48,December
519,CPT DIMITRIOS S,9221592,Odesa,Portugal,Corn,56449,12/3/2022,12/10/2022,:pt:,developed,developed,High income,48,December
519,CPT DIMITRIOS S,9221592,Odesa,Portugal,Barley,8543,12/3/2022,12/10/2022,:pt:,developed,developed,High income,48,December
518,BR GLORY,8907577,Chornomorsk,Egypt,Wheat,21500,12/3/2022,12/20/2022,:eg:,developing,other developing,Lower middle income,48,December
517,ATHINA II,9724192,Yuzhny/Pivdennyi,China,Corn,70920,12/3/2022,12/20/2022,:cn:,developing,other developing,Upper middle income,48,December
516,SEA INSPIRATION,9604782,Odesa,Italy,Corn,26500,12/2/2022,12/8/2022,:it:,developed,developed,High income,48,December
515,LADY PERLA,9149732,Yuzhny/Pivdennyi,Bulgaria,Sunflower meal,17000,12/2/2022,12/10/2022,:bg:,developed,developed,Upper middle income,48,December
514,ASPASIA LUCK,9223485,Odesa,China,Corn,63000,12/2/2022,12/9/2022,:cn:,developing,other developing,Upper middle income,48,December
513,TRINITY,9545716,Yuzhny/Pivdennyi,Israel,Corn,53820,12/1/2022,12/8/2022,:il:,developed,developed,High income,48,December
512,STAR ATLAS,9828302,Yuzhny/Pivdennyi,China,Sunflower meal,35719,12/1/2022,12/7/2022,:cn:,developing,other developing,Upper middle income,48,December
512,STAR ATLAS,9828302,Yuzhny/Pivdennyi,China,Corn,31608,12/1/2022,12/7/2022,:cn:,developing,other developing,Upper middle income,48,December
511,PEACE M,9086318,Chornomorsk,Egypt,Corn,25000,12/1/2022,12/10/2022,:eg:,developing,other developing,Lower middle income,48,December
510,ORIS PRINCESS,9119907,Odesa,Greece,Wheat,6300,12/1/2022,12/18/2022,:gr:,developed,developed,High income,48,December
509,NORDIC SKAGEN,9489986,Odesa,Spain,Corn,32300,12/1/2022,12/9/2022,:es:,developed,developed,High income,48,December
508,GOLDEN ARSENAL,9493212,Odesa,Algeria,Wheat,27000,12/1/2022,12/7/2022,:dz:,developing,other developing,Lower middle income,48,December
507,AL SAAD,9436111,Odesa,Indonesia,Wheat,55000,12/1/2022,12/7/2022,:id:,developing,other developing,Lower middle income,48,December
506,OMICRON SKY,9330329,Chornomorsk,Türkiye,Corn,66645,11/30/2022,12/7/2022,:tr:,developing,other developing,Upper middle income,48,November
505,BARONESS,9588407,Chornomorsk,Spain,Corn,27500,11/30/2022,12/6/2022,:es:,developed,developed,High income,48,November
504,TORC,9544683,Odesa,Italy,Sunflower oil,8400,11/29/2022,12/5/2022,:it:,developed,developed,High income,48,November
503,MARIA GS,9574195,Chornomorsk,Italy,Corn,26350,11/29/2022,12/14/2022,:it:,developed,developed,High income,48,November
502,DAYTONA DYNAMIC,8914726,Yuzhny/Pivdennyi,Türkiye,Wheat,26300,11/29/2022,12/6/2022,:tr:,developing,other developing,Upper middle income,48,November
501,NEW FAITH,9191034,Odesa,Türkiye,Corn,27500,11/27/2022,12/5/2022,:tr:,developing,other developing,Upper middle income,47,November
500,LADY ZEHMA,9303431,Chornomorsk,Italy,Corn,30389,11/27/2022,12/14/2022,:it:,developed,developed,High income,47,November
499,LADY SHAM,9171383,Odesa,Italy,Wheat,8383,11/27/2022,12/5/2022,:it:,developed,developed,High income,47,November
498,KINGFISHER D,9238117,Chornomorsk,Italy,Corn,26900,11/27/2022,12/10/2022,:it:,developed,developed,High income,47,November
497,INCEPTION,9540481,Chornomorsk,The Netherlands,Corn,67000,11/27/2022,12/6/2022,:nl:,developed,developed,High income,47,November
496,FANARIA,9228241,Chornomorsk,Greece,Barley,11650,11/27/2022,12/9/2022,:gr:,developed,developed,High income,47,November
496,FANARIA,9228241,Chornomorsk,Greece,Wheat,4700,11/27/2022,12/9/2022,:gr:,developed,developed,High income,47,November
495,SAUVAN,9537628,Yuzhny/Pivdennyi,China,Corn,71000,11/26/2022,12/6/2022,:cn:,developing,other developing,Upper middle income,47,November
494,PORT ALBERNI,9335886,Odesa,Spain,Soya beans,26765,11/25/2022,12/4/2022,:es:,developed,developed,High income,47,November
493,CS CIHAN,9045704,Chornomorsk,Türkiye,Soya beans,6400,11/25/2022,12/4/2022,:tr:,developing,other developing,Upper middle income,47,November
492,BERDEN,9278818,Odesa,Bangladesh,Wheat,54000,11/24/2022,12/2/2022,:bd:,developing,least developed,Lower middle income,47,November
491,VASILIY BOZHENKO,8623999,Chornomorsk,Türkiye,Sunflower seed,1500,11/23/2022,12/1/2022,:tr:,developing,other developing,Upper middle income,47,November
490,PUFFIN S,9164811,Chornomorsk,Türkiye,Wheat,18100,11/23/2022,12/1/2022,:tr:,developing,other developing,Upper middle income,47,November
489,KYDONIA,9588615,Yuzhny/Pivdennyi,Spain,Barley,66000,11/23/2022,12/3/2022,:es:,developed,developed,High income,47,November
488,EVANGELISTRIA,9383857,Yuzhny/Pivdennyi,France,Sunflower seed,40771,11/23/2022,12/3/2022,:fr:,developed,developed,High income,47,November
487,EIDER S,9364784,Odesa,Spain,Corn,50000,11/22/2022,11/28/2022,:es:,developed,developed,High income,47,November
486,MRC SEMIRAMIS,9418793,Chornomorsk,Spain,Sunflower oil,5788,11/21/2022,11/27/2022,:es:,developed,developed,High income,47,November
485,ELLIREA,9757008,Yuzhny/Pivdennyi,Israel,Corn,44699,11/21/2022,12/9/2022,:il:,developed,developed,High income,47,November
485,ELLIREA,9757008,Yuzhny/Pivdennyi,Israel,Wheat,12441,11/21/2022,12/9/2022,:il:,developed,developed,High income,47,November
484,AG VALOR,9312327,Yuzhny/Pivdennyi,Türkiye,Wheat,27500,11/21/2022,11/30/2022,:tr:,developing,other developing,Upper middle income,47,November
483,OLMA,8004806,Chornomorsk,Türkiye,Wheat,5602,11/20/2022,12/3/2022,:tr:,developing,other developing,Upper middle income,46,November
482,NIKOLAS D,9474723,Yuzhny/Pivdennyi,China,Corn,66000,11/20/2022,12/3/2022,:cn:,developing,other developing,Upper middle income,46,November
481,EAGLE TRADER,9284362,Yuzhny/Pivdennyi,Spain,Corn,15291,11/20/2022,12/1/2022,:es:,developed,developed,High income,46,November
481,EAGLE TRADER,9284362,Yuzhny/Pivdennyi,Spain,Wheat,10709,11/20/2022,12/1/2022,:es:,developed,developed,High income,46,November
480,TASOS,9180906,Odesa,Republic of Korea,Wheat,65000,11/19/2022,11/24/2022,:kr:,developed,developed,High income,46,November
479,PANAGIA KANALA,9553232,Chornomorsk,Belgium,Rapeseed,44900,11/19/2022,11/29/2022,:be:,developed,developed,High income,46,November
478,ODYSSEUS N,9490442,Chornomorsk,China,Sunflower meal,62843,11/19/2022,11/29/2022,:cn:,developing,other developing,Upper middle income,46,November
477,CAPTAIN ADAMS,9737618,Chornomorsk,Republic of Korea,Corn,62000,11/19/2022,12/1/2022,:kr:,developed,developed,High income,46,November
476,ANNABELLA,8919788,Odesa,Egypt,Soya beans,9400,11/19/2022,12/5/2022,:eg:,developing,other developing,Lower middle income,46,November
475,PLEVNE,9340908,Odesa,Italy,Sunflower oil,6905,11/18/2022,11/23/2022,:it:,developed,developed,High income,46,November
474,NORD STARK,9691591,Yuzhny/Pivdennyi,Spain,Corn,21100,11/18/2022,12/2/2022,:es:,developed,developed,High income,46,November
474,NORD STARK,9691591,Yuzhny/Pivdennyi,Spain,Wheat,6100,11/18/2022,12/2/2022,:es:,developed,developed,High income,46,November
473,GHADA A,7126102,Odesa,Jordan,Barley,5230,11/18/2022,11/27/2022,:jo:,developing,other developing,Upper middle income,46,November
472,GANOSAYA,9151400,Odesa,Libya,Corn,12200,11/18/2022,11/29/2022,:ly:,developing,other developing,Upper middle income,46,November
472,GANOSAYA,9151400,Odesa,Libya,Barley,4400,11/18/2022,11/29/2022,:ly:,developing,other developing,Upper middle income,46,November
471,SUPER SAKA,9456551,Odesa,Saudi Arabia,Wheat,54000,11/17/2022,11/25/2022,:sa:,developing,other developing,High income,46,November
470,NIZAR,8324751,Chornomorsk,Türkiye,Soya beans,4840,11/17/2022,11/30/2022,:tr:,developing,other developing,Upper middle income,46,November
469,GOKOVA-M (WFP),9243526,Chornomorsk,Yemen,Wheat,10000,11/17/2022,11/22/2022,:ye:,developing,least developed,Low income,46,November
469,GOKOVA-M (WFP),9243526,Chornomorsk,Afghanistan,Wheat,30000,11/17/2022,11/22/2022,:af:,developing,least developed,Low income,46,November
468,PLUTUS,9132519,Yuzhny/Pivdennyi,Türkiye,Corn,13000,11/16/2022,12/3/2022,:tr:,developing,other developing,Upper middle income,46,November
467,PARALOS,9325099,Odesa,Spain,Wheat,28000,11/16/2022,11/24/2022,:es:,developed,developed,High income,46,November
466,NORD VIND (WFP),9573921,Odesa,Ethiopia,Wheat,25000,11/16/2022,11/22/2022,:et:,developing,least developed,Low income,46,November
465,NORAN,9175822,Chornomorsk,Türkiye,Soya beans,7124,11/16/2022,11/26/2022,:tr:,developing,other developing,Upper middle income,46,November
464,MIM VANGELIS JR,9302786,Yuzhny/Pivdennyi,China,Corn,66756,11/16/2022,11/20/2022,:cn:,developing,other developing,Upper middle income,46,November
463,ELENI M,9228033,Yuzhny/Pivdennyi,Italy,Wheat,41540,11/16/2022,11/30/2022,:it:,developed,developed,High income,46,November
462,AMBER S,9200354,Yuzhny/Pivdennyi,Italy,Wheat,44194,11/16/2022,11/20/2022,:it:,developed,developed,High income,46,November
461,ABILENE,9723057,Odesa,The Netherlands,Rapeseed,51500,11/16/2022,11/20/2022,:nl:,developed,developed,High income,46,November
460,NADA,9055163,Yuzhny/Pivdennyi,Türkiye,Peas,6100,11/15/2022,11/19/2022,:tr:,developing,other developing,Upper middle income,46,November
459,CAPTAIN P EGGLEZOS,9332224,Chornomorsk,China,Sunflower meal,43000,11/15/2022,11/28/2022,:cn:,developing,other developing,Upper middle income,46,November
458,BOZBURUN-M (WFP),9237204,Odesa,Afghanistan,Wheat,20000,11/15/2022,11/22/2022,:af:,developing,least developed,Low income,46,November
458,BOZBURUN-M (WFP),9237204,Odesa,Yemen,Wheat,20000,11/15/2022,11/22/2022,:ye:,developing,least developed,Low income,46,November
457,AYSHA M,8511146,Chornomorsk,Türkiye,Soya beans,6300,11/15/2022,11/23/2022,:tr:,developing,other developing,Upper middle income,46,November
456,OTAGO BAY,9782015,Odesa,Spain,Barley,37500,11/14/2022,11/16/2022,:es:,developed,developed,High income,46,November
456,OTAGO BAY,9782015,Odesa,Spain,Corn,12500,11/14/2022,11/16/2022,:es:,developed,developed,High income,46,November
455,LUNE B,9163491,Odesa,Türkiye,Wheat,27000,11/14/2022,11/23/2022,:tr:,developing,other developing,Upper middle income,46,November
455,LUNE B,9163491,Odesa,Türkiye,Corn,14000,11/14/2022,11/23/2022,:tr:,developing,other developing,Upper middle income,46,November
454,EAST WIND I,9278973,Yuzhny/Pivdennyi,Tunisia,Barley,25000,11/14/2022,11/18/2022,:tn:,developing,other developing,Lower middle income,46,November
453,CANGA STAR,9540039,Chornomorsk,Spain,Sunflower meal,6000,11/14/2022,11/27/2022,:es:,developed,developed,High income,46,November
452,STAVROS,9425875,Yuzhny/Pivdennyi,Yemen,Wheat,55318,11/13/2022,11/26/2022,:ye:,developing,least developed,Low income,45,November
451,SSI ERDOGAN BEY,9401946,Yuzhny/Pivdennyi,Germany,Rapeseed,34200,11/13/2022,11/16/2022,:de:,developed,developed,High income,45,November
450,RISING FALCON,9105396,Chornomorsk,Italy,Wheat,26200,11/13/2022,11/24/2022,:it:,developed,developed,High income,45,November
449,PS PELICAN,9316593,Yuzhny/Pivdennyi,China,Sunflower oil,37000,11/13/2022,11/15/2022,:cn:,developing,other developing,Upper middle income,45,November
448,LADY SEMA,9233624,Odesa,Spain,Sunflower seed,8600,11/13/2022,11/15/2022,:es:,developed,developed,High income,45,November
447,CEBIHAN,9504308,Chornomorsk,Oman,Wheat,54250,11/13/2022,11/25/2022,:om:,developing,other developing,High income,45,November
446,BESIKTAS ICELAND,9395367,Yuzhny/Pivdennyi,The Netherlands,Sunflower oil,6600,11/13/2022,11/15/2022,:nl:,developed,developed,High income,45,November
445,BELFOREST,9698185,Chornomorsk,Spain,Barley,22000,11/13/2022,11/15/2022,:es:,developed,developed,High income,45,November
445,BELFOREST,9698185,Chornomorsk,Spain,Corn,33000,11/13/2022,11/15/2022,:es:,developed,developed,High income,45,November
444,PROPUS,9133757,Chornomorsk,Türkiye,Sunflower seed,4671,11/12/2022,11/15/2022,:tr:,developing,other developing,Upper middle income,45,November
443,MED ATLANTIC,9410533,Chornomorsk,China,Sunflower oil,22500,11/12/2022,11/14/2022,:cn:,developing,other developing,Upper middle income,45,November
442,TZAREVICH,9145229,Chornomorsk,Türkiye,Wheat,19000,11/11/2022,11/22/2022,:tr:,developing,other developing,Upper middle income,45,November
441,NESTOR S,9473341,Chornomorsk,China,Corn,62900,11/11/2022,11/13/2022,:cn:,developing,other developing,Upper middle income,45,November
440,MOHAMAD M,9141235,Odesa,Italy,Corn,23500,11/11/2022,11/25/2022,:it:,developed,developed,High income,45,November
439,GANNET S,9316995,Yuzhny/Pivdennyi,Türkiye,Corn,14750,11/11/2022,11/26/2022,:tr:,developing,other developing,Upper middle income,45,November
438,SALLY M,9152844,Odesa,Lebanon,Soya beans,6850,11/10/2022,11/20/2022,:lb:,developing,other developing,Lower middle income,45,November
437,BRAVE LEADER,9033505,Yuzhny/Pivdennyi,Tunisia,Wheat,21600,11/10/2022,11/12/2022,:tn:,developing,other developing,Lower middle income,45,November
436,BAHAR K,8884555,Chornomorsk,Italy,Soya beans,7900,11/10/2022,11/15/2022,:it:,developed,developed,High income,45,November
435,BRAVE,9242730,Odesa,India,Sunflower oil,6010,11/9/2022,11/12/2022,:in:,developing,other developing,Lower middle income,45,November
434,MAINLAND,9431056,Yuzhny/Pivdennyi,Spain,Sunflower oil,6600,11/9/2022,11/11/2022,:es:,developed,developed,High income,45,November
433,DUZGIT INTEGRITY,9380415,Chornomorsk,France,Sunflower oil,9000,11/9/2022,11/11/2022,:fr:,developed,developed,High income,45,November
432,CHAMPION PULA,9341146,Yuzhny/Pivdennyi,China,Sunflower oil,43250,11/8/2022,11/10/2022,:cn:,developing,other developing,Upper middle income,45,November
431,MAVKA,9284647,Chornomorsk,Romania,Sunflower oil,12500,11/4/2022,11/7/2022,:ro:,developed,developed,High income,44,November
430,ESENTEPE,9247508,Yuzhny/Pivdennyi,Oman,Sunflower oil,29000,11/3/2022,11/7/2022,:om:,developing,other developing,High income,44,November
429,ELEFSIS,9118678,Chornomorsk,Spain,Wheat,64300,11/3/2022,11/9/2022,:es:,developed,developed,High income,44,November
428,CHRISTINA B,9304162,Yuzhny/Pivdennyi,China,Corn,62258,11/3/2022,11/14/2022,:cn:,developing,other developing,Upper middle income,44,November
427,SVETI DUJAM,9519638,Chornomorsk,China,Sunflower meal,31908,11/2/2022,11/9/2022,:cn:,developing,other developing,Upper middle income,44,November
426,RIO,9039975,Odesa,Italy,Wheat,9100,11/2/2022,11/9/2022,:it:,developed,developed,High income,44,November
425,RATTANA NAREE,9245055,Yuzhny/Pivdennyi,The Netherlands,Soya beans,26786,11/2/2022,11/6/2022,:nl:,developed,developed,High income,44,November
424,KEY KNIGHT,9512317,Chornomorsk,China,Corn,66750,11/2/2022,11/9/2022,:cn:,developing,other developing,Upper middle income,44,November
423,NIMET TORLAK,9282948,Yuzhny/Pivdennyi,Morocco,Sunflower meal,12690,11/1/2022,11/6/2022,:ma:,developing,other developing,Lower middle income,44,November
422,BOMUSTAFA O,9114476,Chornomorsk,Libya,Wheat,22800,11/1/2022,11/11/2022,:ly:,developing,other developing,Upper middle income,44,November
421,SSI CHALLENGER,9284300,Chornomorsk,Germany,Corn,49000,10/31/2022,11/8/2022,:de:,developed,developed,High income,44,October
420,MOUNT BAKER,9266918,Yuzhny/Pivdennyi,Spain,Corn,31635,10/31/2022,11/25/2022,:es:,developed,developed,High income,44,October
419,KARAMEL,9316921,Odesa,Libya,Corn,33000,10/31/2022,11/11/2022,:ly:,developing,other developing,Upper middle income,44,October
418,CARAVOS HARMONY,9595589,Chornomorsk,China,Barley,36850,10/31/2022,11/2/2022,:cn:,developing,other developing,Upper middle income,44,October
418,CARAVOS HARMONY,9595589,Chornomorsk,China,Sunflower meal,27453,10/31/2022,11/2/2022,:cn:,developing,other developing,Upper middle income,44,October
417,AMYNTOR,9515656,Odesa,Türkiye,Wheat,27000,10/31/2022,11/9/2022,:tr:,developing,other developing,Upper middle income,44,October
416,ADMIRAL DE RIBAS,9106900,Yuzhny/Pivdennyi,Türkiye,Sunflower meal,2500,10/31/2022,11/2/2022,:tr:,developing,other developing,Upper middle income,44,October
415,SK FRIENDSHIP,8909446,Chornomorsk,Egypt,Soya beans,6600,10/30/2022,11/10/2022,:eg:,developing,other developing,Lower middle income,43,October
414,SEALOCK,8218380,Chornomorsk,Türkiye,Peas,2050,10/30/2022,11/3/2022,:tr:,developing,other developing,Upper middle income,43,October
413,NIKOLAOS A,9493949,Chornomorsk,United Kingdom,Rapeseed,46141,10/30/2022,11/3/2022,:gb:,developed,developed,High income,43,October
412,IKARIA ANGEL (WFP),9194397,Chornomorsk,Ethiopia,Wheat,30000,10/30/2022,11/10/2022,:et:,developing,least developed,Low income,43,October
411,DESPINA V,9727986,Yuzhny/Pivdennyi,The Netherlands,Corn,71135,10/30/2022,11/2/2022,:nl:,developed,developed,High income,43,October
410,AFRICAN ROBIN,9317767,Odesa,Algeria,Wheat,30500,10/30/2022,11/9/2022,:dz:,developing,other developing,Lower middle income,43,October
409,ST SOFIA,9799630,Odesa,Spain,Corn,45000,10/29/2022,11/2/2022,:es:,developed,developed,High income,43,October
409,ST SOFIA,9799630,Odesa,Spain,Barley,11000,10/29/2022,11/2/2022,:es:,developed,developed,High income,43,October
408,RUBYMAR,9138898,Yuzhny/Pivdennyi,Türkiye,Corn,29600,10/29/2022,11/1/2022,:tr:,developing,other developing,Upper middle income,43,October
407,MONTARA,9234202,Odesa,Türkiye,Corn,3200,10/29/2022,11/1/2022,:tr:,developing,other developing,Upper middle income,43,October
406,CAPTAIN ADAM 1,8914087,Chornomorsk,Italy,Soya beans,6600,10/29/2022,11/1/2022,:it:,developed,developed,High income,43,October
405,ZANTE,9727168,Chornomorsk,Belgium,Rapeseed,47270,10/28/2022,11/1/2022,:be:,developed,developed,High income,43,October
404,SUPER BAYERN,9278911,Chornomorsk,Italy,Corn,33000,10/28/2022,11/1/2022,:it:,developed,developed,High income,43,October
403,RISING EAGLE,9073672,Odesa,Egypt,Wheat,25000,10/28/2022,11/8/2022,:eg:,developing,other developing,Lower middle income,43,October
402,LINA,9117868,Chornomorsk,Egypt,Corn,25000,10/28/2022,11/1/2022,:eg:,developing,other developing,Lower middle income,43,October
401,KAVO PERDIKA,9584889,Yuzhny/Pivdennyi,Israel,Corn,54160,10/28/2022,11/1/2022,:il:,developed,developed,High income,43,October
400,ASL TIA,9573713,Chornomorsk,China,Sunflower meal,39000,10/28/2022,11/1/2022,:cn:,developing,other developing,Upper middle income,43,October
399,STELLA GS,9363285,Chornomorsk,Tunisia,Corn,30698,10/27/2022,11/1/2022,:tn:,developing,other developing,Lower middle income,43,October
398,SEVIL,9148518,Chornomorsk,Türkiye,Soya beans,5000,10/27/2022,11/1/2022,:tr:,developing,other developing,Upper middle income,43,October
397,PRINCESS MANISSA,9084217,Yuzhny/Pivdennyi,Türkiye,Corn,21000,10/27/2022,11/1/2022,:tr:,developing,other developing,Upper middle income,43,October
396,ORIS JUL,9116084,Chornomorsk,Israel,Sunflower meal,5750,10/27/2022,11/1/2022,:il:,developed,developed,High income,43,October
395,NESA,8409654,Chornomorsk,Türkiye,Peas,2300,10/27/2022,11/1/2022,:tr:,developing,other developing,Upper middle income,43,October
394,INOI,9400928,Chornomorsk,Spain,Corn,16090,10/27/2022,10/31/2022,:es:,developed,developed,High income,43,October
394,INOI,9400928,Chornomorsk,Spain,Wheat,14910,10/27/2022,10/31/2022,:es:,developed,developed,High income,43,October
393,AHMET AGAOGLU,9082001,Yuzhny/Pivdennyi,Greece,Wheat,4060,10/27/2022,11/1/2022,:gr:,developed,developed,High income,43,October
392,ADIL IBRAHIMLI,9575319,Chornomorsk,Italy,Sunflower oil,6630,10/27/2022,10/31/2022,:it:,developed,developed,High income,43,October
391,A LINE,9246920,Odesa,Türkiye,Wheat,10903,10/27/2022,11/1/2022,:tr:,developing,other developing,Upper middle income,43,October
390,ZUMRUT ANA,9633549,Yuzhny/Pivdennyi,Spain,Sunflower oil,6300,10/25/2022,11/1/2022,:es:,developed,developed,High income,43,October
389,SAHIN 1,9111761,Yuzhny/Pivdennyi,Greece,Wheat,2900,10/25/2022,11/1/2022,:gr:,developed,developed,High income,43,October
388,REGIUS,9737113,Odesa,United Kingdom,Rapeseed,30000,10/25/2022,11/1/2022,:gb:,developed,developed,High income,43,October
387,PEARL T,9264166,Chornomorsk,Romania,Sunflower oil,4000,10/25/2022,11/1/2022,:ro:,developed,developed,High income,43,October
386,KAPTAN ARIF BAYRAKTAR,9449560,Chornomorsk,The Netherlands,Corn,50000,10/25/2022,11/1/2022,:nl:,developed,developed,High income,43,October
385,CAPTAIN V. MADIAS,9617351,Chornomorsk,China,Corn,63650,10/25/2022,11/1/2022,:cn:,developing,other developing,Upper middle income,43,October
384,CAPTAIN J. NEOFOTISTOS,9617430,Yuzhny/Pivdennyi,Spain,Wheat,68000,10/25/2022,11/1/2022,:es:,developed,developed,High income,43,October
383,MBC DAISY,9609902,Chornomorsk,Algeria,Wheat,14270,10/24/2022,11/2/2022,:dz:,developing,other developing,Lower middle income,43,October
382,FLAG LAMA,9474711,Yuzhny/Pivdennyi,China,Sunflower meal,34430,10/24/2022,11/1/2022,:cn:,developing,other developing,Upper middle income,43,October
382,FLAG LAMA,9474711,Yuzhny/Pivdennyi,China,Corn,30672,10/24/2022,11/1/2022,:cn:,developing,other developing,Upper middle income,43,October
381,C FAITH,9575163,Odesa,Viet Nam,Wheat,56789,10/24/2022,10/31/2022,:vn:,developing,other developing,Lower middle income,43,October
380,BSL CALYPSO,9191448,Yuzhny/Pivdennyi,Italy,Corn,23500,10/24/2022,10/31/2022,:it:,developed,developed,High income,43,October
379,VALERIO,9244037,Odesa,Spain,Wheat,25000,10/23/2022,11/1/2022,:es:,developed,developed,High income,42,October
378,TORC,9544683,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,12600,10/23/2022,10/31/2022,:tr:,developing,other developing,Upper middle income,42,October
377,PANGEO (WFP),9467873,Chornomorsk,Yemen,Wheat,30000,10/23/2022,10/31/2022,:ye:,developing,least developed,Low income,42,October
377,PANGEO (WFP),9467873,Chornomorsk,Afghanistan,Wheat,10000,10/23/2022,10/31/2022,:af:,developing,least developed,Low income,42,October
376,MAGPIE S,9188922,Odesa,Italy,Soya beans,8400,10/23/2022,10/31/2022,:it:,developed,developed,High income,42,October
375,LADY LITEL,9571428,Odesa,Spain,Corn,17800,10/23/2022,10/31/2022,:es:,developed,developed,High income,42,October
375,LADY LITEL,9571428,Odesa,Spain,Wheat,8000,10/23/2022,10/31/2022,:es:,developed,developed,High income,42,October
375,LADY LITEL,9571428,Odesa,Spain,Barley,6300,10/23/2022,10/31/2022,:es:,developed,developed,High income,42,October
374,I.B. MAMMADZADEH,9736688,Odesa,Türkiye,Sunflower oil,6200,10/23/2022,11/1/2022,:tr:,developing,other developing,Upper middle income,42,October
373,SUMMER LADY,9184938,Chornomorsk,France,Rapeseed,55457,10/22/2022,10/31/2022,:fr:,developed,developed,High income,42,October
372,PROFESSOR B,8401523,Chornomorsk,Türkiye,Barley,12000,10/22/2022,10/31/2022,:tr:,developing,other developing,Upper middle income,42,October
371,ISLAND BAY,7528790,Chornomorsk,Greece,Corn,5460,10/22/2022,10/31/2022,:gr:,developed,developed,High income,42,October
370,BELLA JUDI,9595371,Chornomorsk,Libya,Corn,33100,10/22/2022,10/31/2022,:ly:,developing,other developing,Upper middle income,42,October
369,YASA VENUS,9848118,Yuzhny/Pivdennyi,Bangladesh,Wheat,59055,10/21/2022,10/31/2022,:bd:,developing,least developed,Lower middle income,42,October
368,SWORD LION,9136785,Odesa,Italy,Corn,26000,10/21/2022,10/31/2022,:it:,developed,developed,High income,42,October
367,MRC MINA,9464285,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,6700,10/21/2022,10/31/2022,:tr:,developing,other developing,Upper middle income,42,October
366,MILLAC,7208716,Chornomorsk,Türkiye,Wheat,6000,10/21/2022,11/1/2022,:tr:,developing,other developing,Upper middle income,42,October
365,DEMA,9416446,Chornomorsk,Italy,Corn,32800,10/21/2022,10/31/2022,:it:,developed,developed,High income,42,October
364,ALPHA,9489041,Chornomorsk,China,Corn,66000,10/21/2022,11/1/2022,:cn:,developing,other developing,Upper middle income,42,October
363,XIN SHUN,9252199,Odesa,The Netherlands,Rapeseed,60000,10/20/2022,10/31/2022,:nl:,developed,developed,High income,42,October
362,ARIS T,9343895,Yuzhny/Pivdennyi,Spain,Corn,52733,10/20/2022,10/31/2022,:es:,developed,developed,High income,42,October
362,ARIS T,9343895,Yuzhny/Pivdennyi,Spain,Sunflower meal,23267,10/20/2022,10/31/2022,:es:,developed,developed,High income,42,October
361,ATLANTIS ALMERIA,9508093,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,5500,10/20/2022,11/1/2022,:tr:,developing,other developing,Upper middle income,42,October
360,KUBROSLI Y,8000836,Yuzhny/Pivdennyi,Türkiye,Peas,11000,10/19/2022,10/31/2022,:tr:,developing,other developing,Upper middle income,42,October
359,KEMAL KURU,9418080,Odesa,Türkiye,Sunflower seed,3000,10/19/2022,11/1/2022,:tr:,developing,other developing,Upper middle income,42,October
