#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
653,ERICA,9261798,Yuzhny/Pivdennyi,Spain,Corn,44836,1/16/2023,1/24/2023,:es:,developed,developed,High income,3,January
652,TORC,9544683,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,12250,1/15/2023,1/25/2023,:tr:,developing,other developing,Upper middle income,2,January
651,DYNAMIC M,9114610,Odesa,Libya,Corn,27500,1/15/2023,1/28/2023,:ly:,developing,other developing,Upper middle income,2,January
650,ANTHEIA (WFP),9473078,Chornomorsk,Afghanistan,Wheat,15869,1/15/2023,1/24/2023,:af:,developing,least developed,Low income,2,January
649,DERG,9393060,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,6600,1/14/2023,1/22/2023,:tr:,developing,other developing,Upper middle income,2,January
648,DEEP BLUE,9616723,Odesa,Türkiye,Barley,26250,1/14/2023,1/23/2023,:tr:,developing,other developing,Upper middle income,2,January
647,UMIT G,9041124,Yuzhny/Pivdennyi,Greece,Wheat,4300,1/13/2023,1/20/2023,:gr:,developed,developed,High income,2,January
646,SOLAR,9214848,Yuzhny/Pivdennyi,Italy,Wheat,37205,1/13/2023,1/29/2023,:it:,developed,developed,High income,2,January
645,RIO,9039975,Chornomorsk,Greece,Wheat,8500,1/13/2023,1/19/2023,:gr:,developed,developed,High income,2,January
644,PAPUA,9266906,Yuzhny/Pivdennyi,The Netherlands,Soya beans,29300,1/13/2023,1/25/2023,:nl:,developed,developed,High income,2,January
643,NEW FAITH,9191034,Odesa,Spain,Corn,26500,1/13/2023,1/25/2023,:es:,developed,developed,High income,2,January
642,MUZAFFER ANA,9554157,Odesa,Türkiye,Soya beans,11500,1/13/2023,1/25/2023,:tr:,developing,other developing,Upper middle income,2,January
641,LADY HATICE,9413078,Yuzhny/Pivdennyi,Morocco,Sunflower seed,11000,1/13/2023,1/20/2023,:ma:,developing,other developing,Lower middle income,2,January
